version_id,status,chunking_method,chunking_params,top_k,rerank,alpha,llm_model,doc_accuracy,page_accuracy,total_tests,llm_faithfulness_mean,llm_answer_relevance_mean,llm_citation_quality_mean,llm_completeness_mean,llm_overall_mean,error
exp_001_semantic_k5_noRerank_gpt-5,success,semantic,"{""threshold"": 0.85, ""max_chars"": 1500}",5,False,0.0,gpt-5,0.455,0.364,11,1.0,0.752,0.755,0.973,0.883,
exp_002_semantic_k5_rerank_a0.5_gpt-5,success,semantic,"{""threshold"": 0.85, ""max_chars"": 1500}",5,True,0.5,gpt-5,0.545,0.364,11,1.0,0.771,0.76,0.944,0.883,
exp_003_semantic_k5_noRerank_gpt-5,success,semantic,"{""threshold"": 0.7, ""max_chars"": 2500}",5,False,0.0,gpt-5,0.455,0.364,11,0.991,0.775,0.771,0.927,0.88,
exp_004_semantic_k5_rerank_a0.5_gpt-5,success,semantic,"{""threshold"": 0.7, ""max_chars"": 2500}",5,True,0.5,gpt-5,0.455,0.364,11,0.975,0.83,0.677,0.925,0.869,
exp_005_fix_size_k5_noRerank_gpt-5,success,fix_size,"{""max_chars"": 1200, ""overlap"": 150}",5,False,0.0,gpt-5,0.364,0.364,11,0.998,0.727,0.477,0.844,0.795,
exp_006_fix_size_k5_rerank_a0.5_gpt-5,success,fix_size,"{""max_chars"": 1200, ""overlap"": 150}",5,True,0.5,gpt-5,0.727,0.545,11,1.0,0.838,0.584,0.835,0.843,
exp_007_fix_size_k5_noRerank_gpt-5,success,fix_size,"{""max_chars"": 2000, ""overlap"": 250}",5,False,0.0,gpt-5,0.636,0.545,11,0.98,0.782,0.659,0.832,0.837,
exp_008_fix_size_k5_rerank_a0.5_gpt-5,success,fix_size,"{""max_chars"": 2000, ""overlap"": 250}",5,True,0.5,gpt-5,0.636,0.545,11,0.995,0.823,0.664,0.898,0.867,
exp_009_asterisk_k5_noRerank_gpt-5,success,asterisk,{},5,False,0.0,gpt-5,0.545,0.455,11,1.0,0.784,0.756,0.867,0.871,
exp_010_asterisk_k5_rerank_a0.5_gpt-5,success,asterisk,{},5,True,0.5,gpt-5,0.636,0.545,11,0.98,0.826,0.713,0.835,0.859,
